14860,applejack,,{"BUD 25OZ CAN 15PK"},{/beer/product/24556-BUD-25OZ-CAN-15PK},,,{$2.49},2013-11-20 17:44:29.96027,,
14874,applejack,,{"BUD 12PK LONGNECKS"},{/beer/product/571-BUD-12PK-LONGNECKS},,,{$11.99},2013-11-20 17:44:30.265468,,
14894,applejack,,{"BUD LIGHT 25OZ CAN 15PK"},{/beer/product/24420-BUD-LIGHT-25OZ-CAN-15PK},,,{$2.49},2013-11-20 17:44:31.625237,,
14930,applejack,,{"BUD LIGHT PLATINUM ALUM BTLS 10PK"},{/beer/product/3580-BUD-LIGHT-PLATINUM-ALUM-BTLS-10PK},,,{$12.99},2013-11-20 17:44:32.455984,,
14945,applejack,,{"ST BERNARDUS CHRISTMAS"},{/beer/product/26602-ST-BERNARDUS-CHRISTMAS},,,{$14.99},2013-11-20 17:44:33.816624,,
14960,applejack,,{"BUD SELECT 6PK BOTTLES"},{/beer/product/3041-BUD-SELECT-6PK-BOTTLES},,,{$6.99},2013-11-20 17:44:34.120404,,
15014,applejack,,{"SKA EUPHORIA 6PK CANS"},{/beer/product/24272-SKA-EUPHORIA-6PK-CANS},,,{$8.99},2013-11-20 17:44:36.47341,,
15051,applejack,,{"SCALDIS NOEL PREMIUM 750ML"},{/beer/product/28875-SCALDIS-NOEL-PREMIUM-750ML},,,{$19.99},2013-11-20 17:44:38.142318,,
15078,applejack,,{"SAM SMITH WINTER WELCOME 4PK"},{/beer/product/8954-SAM-SMITH-WINTER-WELCOME-4PK},,,{$8.99},2013-11-20 17:44:39.09958,,
15088,applejack,,{"CORONITA  6PK"},{/beer/product/4227-CORONITA-6PK},,,{$5.99},2013-11-20 17:44:39.289902,,
